metric,method,scale,n_industries,year,annual_within,annual_shift,annual_interaction,annual_total,cumulative_within,cumulative_shift,cumulative_interaction,cumulative_total,cumulative_within_bootstrap_estimate_mean,cumulative_within_bootstrap_ci_lower,cumulative_within_bootstrap_ci_upper,cumulative_within_bootstrap_p_value_two_sided,cumulative_shift_bootstrap_estimate_mean,cumulative_shift_bootstrap_ci_lower,cumulative_shift_bootstrap_ci_upper,cumulative_shift_bootstrap_p_value_two_sided,cumulative_interaction_bootstrap_estimate_mean,cumulative_interaction_bootstrap_ci_lower,cumulative_interaction_bootstrap_ci_upper,cumulative_interaction_bootstrap_p_value_two_sided,cumulative_total_bootstrap_estimate_mean,cumulative_total_bootstrap_ci_lower,cumulative_total_bootstrap_ci_upper,cumulative_total_bootstrap_p_value_two_sided,valid_replications,seed,block_length,total_ci_width_exceeds_abs_cumulative_change
real_regular_monthly,paasche,2024_twd,16,2015,721.7791815580,-20.0269946768,-0.1685556722,701.5836312090,217.1133259250,-534.5585773348,-7.4324274283,-324.8776788381,1596.0203139379,-2764.5917280577,6006.2145781674,0.4872000000,-86.7306719753,-849.8927297030,533.3897069707,0.8494000000,14.4729367610,-48.0997024157,80.6566700416,0.6768000000,1523.7625787236,-3173.4726532679,6314.3843027398,0.5434000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2016,-29.5996069646,-20.1916658671,0.1641665295,-49.6271063023,187.5137189604,-554.7502432020,-7.2682608988,-374.5047851404,1704.6240979436,-2733.0989691965,6215.6580909314,0.4648000000,-103.4917734832,-915.3521935189,538.7653307934,0.8248000000,15.7524963741,-49.0024866333,86.5327782780,0.6600000000,1616.8848208344,-3125.1192805566,6507.4042402906,0.5200000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2017,552.3448670432,-18.8071140028,-0.9737901709,532.5639628695,739.8585860037,-573.5573572048,-8.2420510698,158.0591777291,1807.9968319868,-2815.9547110494,6546.7001714456,0.4506000000,-124.8446889569,-1000.1323024065,541.5783603238,0.7958000000,17.2339677803,-49.2812858998,91.3229936083,0.6534000000,1700.3861108103,-3212.9437520243,6838.1722826708,0.5160000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2018,513.1160877168,7.3386213396,0.3213899016,520.7760989580,1252.9746737205,-566.2187358652,-7.9206611682,678.8352766871,1912.5571144252,-2808.6909973075,6802.9712301826,0.4492000000,-148.3850241483,-1093.9522396529,563.0941080559,0.7698000000,18.7973939724,-49.2813502114,95.1131832038,0.6298000000,1782.9694842493,-3256.1309865735,7147.9287379246,0.5136000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2019,495.8631491259,150.9381013640,37.8746998144,684.6759503042,1748.8378228464,-415.2806345013,29.9540386462,1363.5112269913,2007.7898774255,-2828.6059970556,7065.7682080618,0.4380000000,-170.2740278043,-1148.4962895405,576.4059677432,0.7448000000,20.2303951348,-50.7417560807,101.1997395843,0.6250000000,1857.7462447560,-3324.8620227629,7347.5634681602,0.5086000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2020,652.2164023598,114.3644258809,-3.9911780412,762.5896501996,2401.0542252062,-300.9162086203,25.9628606050,2126.1008771909,2113.4094470494,-2944.1958694003,7291.5875961884,0.4222000000,-196.2246510195,-1233.5762677476,583.9558315722,0.7120000000,21.7968830178,-51.9186093825,106.7428658707,0.6148000000,1938.9816790477,-3514.3576729596,7561.1985286511,0.4980000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2021,-109.2412773652,42.7798942671,-1.9917751775,-68.4531582756,2291.8129478410,-258.1363143532,23.9710854274,2057.6477189153,2226.6829093967,-2979.5041443744,7538.5287803080,0.4172000000,-226.6138346949,-1345.3202992835,593.2264339787,0.6886000000,23.5085816191,-52.9893527356,111.2833685188,0.5970000000,2023.5776563209,-3672.2590979716,7800.2769355258,0.4930000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2022,-126.6393676198,16.7709877345,0.5562058940,-109.3121739912,2165.1735802213,-241.3653266187,24.5272913215,1948.3355449241,2329.8143289400,-2919.5146679361,7788.6682976952,0.3984000000,-252.7924402011,-1414.2236858517,602.6932666010,0.6674000000,24.9853424033,-54.8088087210,117.2351223421,0.5826000000,2102.0072311422,-3644.7611976589,7986.3553390802,0.4878000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2023,-118.0685524587,0.1299285906,1.1269815092,-116.8116423589,2047.1050277626,-241.2353980281,25.6542728307,1831.5239025652,2436.9054294671,-3008.7037375898,8025.2477281893,0.3932000000,-284.9011488532,-1506.2993241711,618.4175497908,0.6382000000,26.6936133151,-56.7707729424,122.6391551501,0.5660000000,2178.6978939290,-3710.6178902338,8191.1100043365,0.4836000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2024,288.3160330000,-15.6598658631,2.7149743112,275.3711414481,2335.4210607626,-256.8952638913,28.3692471419,2106.8950440133,2541.4478618149,-3040.8699640216,8280.7620230410,0.3834000000,-321.6867731687,-1635.5904790617,627.9285456279,0.6084000000,28.4611084508,-56.3956698175,126.2205084079,0.5536000000,2248.2221970969,-3829.8358791737,8514.6991198627,0.4832000000,10000,20260809,3,True
